User ID : 260081603 , Lattitute : 34.43580571, Longitute : 135.24369478, Tweet Number : 886949713274183681, Tweet Status : I'm at 南海 関西空港駅 in 泉佐野市, 大阪府 https://t.co/A3rYG6WU4I
User ID : 1603825117 , Lattitute : 34.43580571, Longitute : 135.24369478, Tweet Number : 886948855383764993, Tweet Status : I'm at 南海 関西空港駅 in 泉佐野市, 大阪府 https://t.co/UsSjmwXfs7
User ID : 204364119 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886947010124951552, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/3a4qG5uPIH
User ID : 1704857778 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886946275500986377, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/QfyroGkWqO
User ID : 616941412 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886944786724388865, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/Gpw411Gj5U
User ID : 105793846 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886943372895821824, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/iyYUNGuhlp
User ID : 856286880 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886943363274088448, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/WJaCqbSU4v
User ID : 702142957969780736 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886940756874850304, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/DzwUjj5YUr
User ID : 3571830252 , Lattitute : 34.73346222, Longitute : 135.49974047, Tweet Number : 886939006864433152, Tweet Status : I'm at JR新大阪駅 新幹線中央口 in 大阪市, 大阪府 https://t.co/3TfMJZmiwg
User ID : 1570478323 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886938935393484801, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/LiDx8hFAW7
User ID : 216020891 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886937973534711808, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/9Lmg7lfrGE
User ID : 64324434 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886937523511013376, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/Y0xmKVmIeu
User ID : 113637045 , Lattitute : 36.55810219, Longitute : 139.89777289, Tweet Number : 886930984746311680, Tweet Status : I'm at 宇都宮駅 新幹線ホーム in Utsunomiya, Tochigi https://t.co/GtwOgn81aQ
User ID : 3328901544 , Lattitute : 34.85923664, Longitute : 136.81504231, Tweet Number : 886930966136184835, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/N81aOQ2E40
User ID : 325542585 , Lattitute : 34.85923664, Longitute : 136.81504231, Tweet Number : 886929575292395520, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/LXAR4RqdCq
