User ID :7.19411E+17, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.92001E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :1139686620, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91998E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :154788025, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91998E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :261740346, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91995E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :32393411, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91995E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :3020895290, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91993E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :1414644234, Lattitute :36.17791507, Longitute :140.4073297, Tweet Number :8.91987E+17, Tweet Status : I'm at 茨城空港 in 小美玉市,,,
User ID :95018912, Lattitute :34.44025, Longitute :135.2236, Tweet Number :8.91982E+17, Tweet Status : I'm at 関西空港B滑走路(RWY06L/22R) in 泉南郡,,,
User ID :3052338786, Lattitute :34.85944729, Longitute :136.8148579, Tweet Number :8.91978E+17, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市,,,
User ID :14581663, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91976E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :2881299452, Lattitute :34.4362216, Longitute :135.24333, Tweet Number :8.91975E+17, Tweet Status : I'm at JR 関西空港駅 in いずみさのし,,,
User ID :77511733, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91975E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :226190443, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91973E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :12388422, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91973E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :1237903992, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91972E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :105558752, Lattitute :38.13813458, Longitute :140.929935, Tweet Number :8.91972E+17, Tweet Status : I'm at 仙台国際空港 - @sendai_a_s in 名取市,,,
User ID :2978499956, Lattitute :35.77245341, Longitute :140.3823825, Tweet Number :8.91971E+17, Tweet Status : I'm at 成田国際空港 貨物地区 in 成田市,,,
User ID :543400615, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91968E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :7.34398E+17, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91968E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :43346098, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91968E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :4463344212, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91967E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1488412878, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91965E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
