User ID : 64151683 , Lattitute : 35.77353396, Longitute : 140.38836211, Tweet Number : 895393870044901381, Tweet Status : I'm at 空港第2ビル駅 in 成田市, 千葉県 https://t.co/pNHUSMCZVk
User ID : 1428957385 , Lattitute : 34.43580571, Longitute : 135.24369478, Tweet Number : 895393437599617024, Tweet Status : I'm at 南海 関西空港駅 in 泉佐野市, 大阪府 https://t.co/k2YDjE2gUY
User ID : 194458610 , Lattitute : 35.77353396, Longitute : 140.38836211, Tweet Number : 895392361693536261, Tweet Status : I'm at 空港第2ビル駅 in 成田市, 千葉県 https://t.co/ZYcUZTx7IK
User ID : 1298416075 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 895389550507421697, Tweet Status : I'm at 中部国際空港 セントレア in 常滑市, 愛知県 https://t.co/o38UcAIDGu
User ID : 64587300 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895389180565618688, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/IIhEs5Hoju
User ID : 108944909 , Lattitute : 35.780642, Longitute : 140.387084, Tweet Number : 895387737729183745, Tweet Status : I'm at 成田国際空港 B滑走路 in 成田市, 千葉県 https://t.co/009JkZ5BGt
User ID : 91010655 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895334529077989378, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/G4HUg9nte5
User ID : 19797237 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895323396250025986, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/rJzkveV5AE
User ID : 302979759 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895315684002889728, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/rVlnUwfLOE
User ID : 359209281 , Lattitute : 35.71325367, Longitute : 139.77628311, Tweet Number : 895292223104974848, Tweet Status : I'm at 東北・上越・北陸新幹線 上野駅 in 台東区, 東京都 https://t.co/UduiMvaGJh
