User ID : 377349848 , Lattitute : 37.61685233, Longitute : -122.38708331, Tweet Number : 872514304565706752, User Location : 主にCrowdport, Tweet Status : I'm at サンフランシスコ国際空港 - @flysfo in San Francisco, CA https://t.co/rlzXszS0HI
User ID : 45859613 , Lattitute : 51.46940792, Longitute : -0.46234846, Tweet Number : 872493512595472384, User Location : Osaka, Tweet Status : I'm at ロンドン・ヒースロー空港 - @heathrowairport in Hounslow, Greater London https://t.co/WiFNDtPDSh
User ID : 366981922 , Lattitute : 35.77353396, Longitute : 140.38836211, Tweet Number : 872470818244055041, User Location : , Tweet Status : I'm at 空港第2ビル駅 in 成田市, 千葉県 https://t.co/Wc0SBdVIRx
User ID : 180291971 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872444874125185024, User Location : チーバくんの顎の下, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/KyyunO3fb6
User ID : 115040814 , Lattitute : 35.68093543, Longitute : 139.7676964, Tweet Number : 872441835624566785, User Location : みらにすた, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/FLEsF5oClE
User ID : 5208841 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872432858257903616, User Location : sendai miyagi, japan, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/ff0IsWJIun
User ID : 68331875 , Lattitute : 35.17041855, Longitute : 136.88135205, Tweet Number : 872430723529138181, User Location : 上総國, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/Aqaeznfo3r
User ID : 89194338 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872430108417642497, User Location : ナカムランド, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/bNlsRkBVJ6
User ID : 3549906494 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872427199726530560, User Location : 富山県, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/VqxE81p55N
User ID : 3832013534 , Lattitute : 32.79014271, Longitute : 130.68840265, Tweet Number : 872424909510672384, User Location : 熊本県熊本市, Tweet Status : I'm at 九州新幹線 熊本駅 in 熊本市, 熊本県 https://t.co/DSmeP13ciE
